rigtig mange glæde sig til at ser og inviterer familie og venner, rigtig mange glæder sig til at se og invitere familie og venner
det er ikke altid nemt at forsvarer din opførsel, det er ikke altid nemt at forsvare din opførsel
mange drenge interessere sig for fodbold, mange drenge interesserer sig for fodbold
vil du inviterer alle dine veninder til fødselsdagen?, vil du invitere alle dine veninder til fødselsdagen?
det er svært at vurderer hvor meget bilen er værd, det er svært at vurdere hvor meget bilen er værd
min lillesøster spekulere på meningen med livet, min lillesøster spekulerer på meningen med livet
jeg gider ikke at reparerer min cykel i dag, jeg gider ikke at reparere min cykel i dag
jeg spekulere på hvad jeg skal spise til aftensmad, jeg spekulerer på hvad jeg skal spise til aftensmad
det har jeg svært ved at accepterer, det har jeg svært ved at acceptere
hvorfor forsvare du aldrig din bedste ven?, hvorfor forsvarer du aldrig din bedste ven?
hvordan vurdere du om du er forelsket?, hvordan vurderer du om du er forelsket?
du kan ikke lærer det hele på én dag, du kan ikke lære det hele på én dag
nu vil jeg op og smører mig en madpakke, nu vil jeg op og smøre mig en madpakke
senere køre jeg hen til dig med kombardo expressen, senere kører jeg hen til dig med kombardo expressen
Jeg løbe til butikken, Jeg løber til butikken
Han spise sin mad, Han spiser sin mad
Hun læse en bog, Hun læser en bog
De finde en løsning.,De finder en løsning.
Vi drikke kaffe om morgenen.,Vi drikker kaffe om morgenen.
Du sidde ved siden af mig.,Du sidder ved siden af mig.
Jeg skrive en e-mail til min chef.,Jeg skriver en e-mail til min chef.
Han spille fodbold hver weekend.,Han spiller fodbold hver weekend.
De stå i kø ved kassen.,De står i kø ved kassen.
Hun male et billede til sin mor.,Hun maler et billede til sin mor.
Jeg se en film i går aftes.,Jeg så en film i går aftes.
Vi tage bussen til skolen.,Vi tager bussen til skolen.
Du lægge bogen på bordet.,Du lægger bogen på bordet.
Han flyve til Paris i morgen.,Han flyver til Paris i morgen.
De svømme i søen om sommeren.,De svømmer i søen om sommeren.
Hun høre musik på sin telefon.,Hun hører musik på sin telefon.
Vi gå en tur i parken.,Vi går en tur i parken.
Du give mig en gave på min fødselsdag.,Du giver mig en gave på min fødselsdag.
Han tage elevatoren op til kontoret.,Han tager elevatoren op til kontoret.
De løbe en tur hver morgen.,De løber en tur hver morgen.
Jeg lave mad til min familie.,Jeg laver mad til min familie.
Han læse avisen hver dag.,Han læser avisen hver dag.
Hun cykle til arbejde.,Hun cykler til arbejde.
De se en film i biografen.,De ser en film i biografen.
Vi spille brætspil om aftenen.,Vi spiller brætspil om aftenen.
Du skrive en liste over tingene.,Du skriver en liste over tingene.
Jeg hoppe over hækken.,Jeg hopper over hækken.
Han tale med sin ven i telefonen.,Han taler med sin ven i telefonen.
De arbejde hårdt hver dag.,De arbejder hårdt hver dag.
Hun kigge ud af vinduet.,Hun kigger ud af vinduet.
Jeg køre bil til arbejde.,Jeg kører bil til arbejde.
Vi spise morgenmad sammen.,Vi spiser morgenmad sammen.
Du bo i en stor by.,Du bor i en stor by.
Han gå en tur i parken.,Han går en tur i parken.
